title,partner,primary_description,secondary_description,tertiary_description,availability,subject,level,language,product,program_type,staff,translation_language,transcription_language,recent_enrollment_count,marketing_url,weeks_to_complete,skill,text
entrepreneurship adventure مغامرات ريادة الأعمال,king abdullah university of science and technology,خلال ثمانية أسابيع ستساعدك دورة مغامرات ريادة الأعمال على تطوير فكرك الريادي وبناء فريق عمل متكامل والانطلاق بمشروعك الناشئ تمنحك هذه الرحلة تجربة مثيرة تضعك في غرفة التحكم لتختبر قدرتك على اتخاذ القرارات اليومية والمصيرية التي يواجهها رواد الأعمال عند الانطلاق بمشاريعهم الناشئة ستخوض في كل أسبوع مغامرة شيقة لتتحدى أفكارك المسبقة عن ريادة الأعمال وتختبر قدراتك القيادية وتتعلم من مغامرات أصحاب المشاريع الريادية بنهاية هذه المغامرة سجد فرصتك لبداية مشروعك الريادي,مهما كانت أهدافك مهما اختلف تفكيرك وأسلوبك في خوض التجارب في هذه المغامرة ستكتسب الكثير من المعلومات حول ثقافة ريادة الأعمال وتطور فكرك الريادي ومشروعك الناشئ لتدخل السوق بقوة وثقة طوال ٨ أسابيع ستكون أنت صاحب القرار ومع كل مغامرة ستخطو خطوة جديدة نحو تحقيق أحلامك وتتعمق أكثر في عالم ريادة الأعمال وتقترب من تطوير فكرتك وإطلاق مشروعك الناشئ باستخدام جميع الأساليب والمفاهيم التي اكتسبتها طوال رحلتك هذه بدءا من فكرتك المبتكرة ومرورا ببناء الفريق المناسب وقيادته ووصولا لجذب المستثمرين وإقناعهم برؤيتك ستساعدك مغامرات ريادة الأعمال على التميز في مسيرتك الريادية وتتعلم كيف ترسم طريقك نحو النجاح هل أنت مستعد لبدء المغامرة,start entrepreneurship journey entrepreneurship adventure eightweek program brings founder experience life open aspiring founder anyone interested learning entrepreneurship gamified experience put driver seat navigate realworld decision entrepreneur face bring idea market week youll learn case study video dynamic content designed power entrepreneurial evolution complete level successfully youll work interactive challenge help apply learning keep moving forward end eightweek adventure youll successfully worked startup lifecycle process gained skill amp knowledge need jumpstart entrepreneurship career entrepreneurship adventure work free 8week entrepreneurship master class unique gamified learning experience teach pillar entrepreneurship challenge taught kaust entrepreneurship center instructor expert mentor kaust certificate completion awarded verified track course content available arabic,available now,business & management,introductory,arabic,Course,,"htn-hmd, mhmd-lwn, d-lm~-hkm-2, rw~-shfy, dwd-mhn, bdlrhmn-ljfry, hythm-lhmsy",,,487,https://www.edx.org/learn/entrepreneurship/king-abdullah-university-of-science-and-technology-entrepreneurship-adventures-mgmrt-ryd-l-ml,10.0,dynamic content,entrepreneurship adventure مغامرات ريادة الأعمال start entrepreneurship journey entrepreneurship adventure eightweek program brings founder experience life open aspiring founder anyone interested learning entrepreneurship gamified experience put driver seat navigate realworld decision entrepreneur face bring idea market week youll learn case study video dynamic content designed power entrepreneurial evolution complete level successfully youll work interactive challenge help apply learning keep moving forward end eightweek adventure youll successfully worked startup lifecycle process gained skill amp knowledge need jumpstart entrepreneurship career entrepreneurship adventure work free 8week entrepreneurship master class unique gamified learning experience teach pillar entrepreneurship challenge taught kaust entrepreneurship center instructor expert mentor kaust certificate completion awarded verified track course content available arabic business & management dynamic content
managing personal cash credit,indiana university,discover five c credit improve credit score determine line credit right course prepares choose right financial institution specific situation evaluate cash management product use credit wisely,choose right financial institution specific financial situation bank online costeffective secure manner classify liquid asset choosing checking account meet need compare available return variety saving product understand saving account feature return make best decision apply access open consumer credit evaluate creditworthiness five c credit maintain good standing credit card company understand analyze credit card statement use online source compare contrast credit card feature calculate charge fee open credit determine line credit right one access access home equity line credit heloc understand improve credit score use credit wisely compare feature secured credit explore loan amortization make leave buy decision effectively analyze benefit risk refinancing,managing personal cash credit made possible brian sheila jellison family foundation managing personal cash amp credit course designed individual build financial literacy one pressing need american face today financial decision made individual impact larger community significant way pervasive cost due financial mistake recent study financial industry regulatory authority finra reveals 50 american less 10000 saved retirement addition 50 american emergency fund unable cope unexpected car repair without borrowing fund financial literacy urgent need many course youll explore use cash credit impact financial situation fastpaced course prepares understand liquid asset financial institution use daytoday cash management need review type cash management product available relative pro con explore option online banking checking account saving opportunity establish credit use advantage evaluate credit card option marketplace make sense complex data provided credit card statement learn revolving credit option available need impact credit score achieve financial personal goal review secured credit specialized application auto loan mortgage home equity loan make secure financial decision regarding leasing buying refinancing course video selected short reading selfpaced activity student gain practical knowledge core concept cash credit achieve broader view personal managing personal cash credit contribute successful fulfilling life improve cash flow credit score banking service registering course,available now,economics & finance,introductory,english,Course,professional certificate,"todd-roberson, kenneth-carrow","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","spanish, indonesian, portuguese - brazil, arabic",487,https://www.edx.org/learn/personal-finance/indiana-university-managing-personal-cash-and-credit,4.0,cash management market liquidity financial service financial literacy banking service transactional account mortgage loan loan equity financial industry regulatory authority automotive loan,managing personal cash credit managing personal cash credit made possible brian sheila jellison family foundation managing personal cash amp credit course designed individual build financial literacy one pressing need american face today financial decision made individual impact larger community significant way pervasive cost due financial mistake recent study financial industry regulatory authority finra reveals 50 american less 10000 saved retirement addition 50 american emergency fund unable cope unexpected car repair without borrowing fund financial literacy urgent need many course youll explore use cash credit impact financial situation fastpaced course prepares understand liquid asset financial institution use daytoday cash management need review type cash management product available relative pro con explore option online banking checking account saving opportunity establish credit use advantage evaluate credit card option marketplace make sense complex data provided credit card statement learn revolving credit option available need impact credit score achieve financial personal goal review secured credit specialized application auto loan mortgage home equity loan make secure financial decision regarding leasing buying refinancing course video selected short reading selfpaced activity student gain practical knowledge core concept cash credit achieve broader view personal managing personal cash credit contribute successful fulfilling life improve cash flow credit score banking service registering course economics & finance cash management market liquidity financial service financial literacy banking service transactional account mortgage loan loan equity financial industry regulatory authority automotive loan
introduction online education course planning,the university of wisconsin-madison,learn fundamental online education online learner proven strategy including developing effective online learning module course content material planning learning module using backward design methodology defining learning outcome well key course topic,explain fundamental difference online facetoface education describe factor driving growth online education summarize research finding quality online education identify different model online course create learning objective course unit activity distinguish learning objective activity description distinguish performance knowledge objective,introduction online education course planning course critical offering teaching successful online course program solid understanding online education learning style including key principle teaching strategy online education important lesson planning step get course started right direction course cover topic growth online education factor quality online education research various mode online course learning objective online education build fundamental online learning introduction online education course planning course,"archived, available now",education & teacher training,introductory,english,Course,professional certificate,sarah-korpi,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","spanish, indonesian, arabic",487,https://www.edx.org/learn/education/the-university-of-wisconsin-madison-introduction-to-online-education-course-planning,3.0,planning learning style backward design material planning teaching lesson planning,introduction online education course planning introduction online education course planning course critical offering teaching successful online course program solid understanding online education learning style including key principle teaching strategy online education important lesson planning step get course started right direction course cover topic growth online education factor quality online education research various mode online course learning objective online education build fundamental online learning introduction online education course planning course education & teacher training planning learning style backward design material planning teaching lesson planning
first night handel messiah baroque oratorio,harvard university,discover handel messiah installment first night explore five masterpiece western music,get know wonderful music identify genre subgenres 18thcentury opera oratorio understand textmusic relationship baroque period distinguish basic aspect musical texture musical form appreciate cultural context performance circumstance handel messiah,italian opera set standard baroque era german composer george frederic handel quickly gained popularity oratorio put operatic technique work service sacred music handel messiah premiered dublin april 13 1742 remains popular day harvard thomas forrest kelly morton b knafel professor music guide learner messiah musical highlight detailing handel composition process preparation rehearsal premiere performance learner module first night need prior musical experience unit learn basic musical form analysis genre style used messiah circumstance first performance subsequent history additional first night module monteverdi lorfeo birth opera handel messiah baroque oratorio beethoven ninth symphony berlioz symphonie fantastique program music 19th century igor stravinsky rite spring modernism ballet riot,available now,"humanities, art & culture, history",introductory,english,Course,xseries,thomas-forrest-kelly,"arabic, english, spanish (latin america), indonesian, portuguese (brazil), german (germany), greek, french, italian (italy), korean, russian, thai, turkish (turkey), chinese (simplified)","arabic, french, german, chinese - china, korean, russian, turkish, greek, thai, portuguese - brazil, indonesian, spanish, telugu, swahili, hindi, portuguese",486,https://www.edx.org/learn/music-arts/harvard-university-first-nights-handel-s-messiah-and-baroque-oratorio,2.0,german language written composition,first night handel messiah baroque oratorio italian opera set standard baroque era german composer george frederic handel quickly gained popularity oratorio put operatic technique work service sacred music handel messiah premiered dublin april 13 1742 remains popular day harvard thomas forrest kelly morton b knafel professor music guide learner messiah musical highlight detailing handel composition process preparation rehearsal premiere performance learner module first night need prior musical experience unit learn basic musical form analysis genre style used messiah circumstance first performance subsequent history additional first night module monteverdi lorfeo birth opera handel messiah baroque oratorio beethoven ninth symphony berlioz symphonie fantastique program music 19th century igor stravinsky rite spring modernism ballet riot humanitiesart & culturehistory german language written composition
data structure algorithm iii avl 24 tree divide conquer algorithm,the georgia institute of technology,learn complex tree data structure avl 24 tree investigate balancing technique found tree type implement technique avl operation explore sorting algorithm simple iterative sort followed divide conquer algorithm use course visualization understand performance,improve java programming skill implementing avls sorting algorithm study technique restoring balance avl 24 tree distinguish apply single double rotation avls investigate complex 24 tree exhibit underflow overflow problem demonstrate appropriate use promotion transfer fusion 24 tree implement basic iterative sorting algorithm bubble insertion selection explore optimization improve efficiency including cocktail shaker sort contemplate two divide amp conquer comparison sorting algorithm merge quick sort consider one noncomparison divide amp conquer algorithm lsd radix sort analyze stability memory usage adaptation sorting algorithm presented study time complexity avls 24 tree sorting algorithm,data structure amp algorithm course completes data structure portion presented sequence course selfbalancing avl 24 tree also begin algorithm portion sequence course short java review presented topic relevant new data structure covered course course require prior knowledge java objectoriented programming linear nonlinear data structure time complexity threaded throughout course within data structure algorithm investigate explore two complex data structure avl 24 tree data structure focus selfbalancing technique ensure operation olog n avl tree subgroup bsts thus inherit property constraint bsts additionally avls incorporate rotation triggered tree mutated becomes balance 24 tree subgroup btrees nonbinary tree 2 child 24 defines range child exists tree however tree extremely flexible allow node shrink grow needed store data flexibility come issue handle like overflow underflow require intense technique resolve issue enter algorithm portion course begin couple familiar iterative sorting algorithm bubble selection optimization included standard bubble sort make adaptive sorting also derivation bubble sort called cocktail shaker sort put new spin basic algorithm insertion sort last iterative sort investigated group sort algorithm divide amp conquer sorting algorithm examined broken two group comparison sort noncomparison sort two comparison sort merge inplace quick sort recursive focus subdividing array smaller portion lsd radix sort noncomparison sort deconstructs integer number examines digit algorithm analyzed stability memory storage adaptiveness time complexity course design several component built around module module consists series short 35 minute instructional video video textual frame additional content information clarification well video erratum dropdown box module include exploratory lab incorporates visualization tool specifically designed course lab includes discovery question lead towards delving deeper efficiency data structure examining edge case followed set comprehension question topic covered module count 10 grade module end java coding assignment 60 grade lastly youll complete course exam count remaining 30 grade,available now,computer science,intermediate,english,Course,professional certificate,mary-hudachek-buswell,,,485,https://www.edx.org/learn/data-structures/the-georgia-institute-of-technology-data-structures-algorithms-iii-avl-and-2-4-trees-divide-and-conquer-algorithms,5.0,algorithm java object oriented querying node networking java programming language data structure time complexity sorting algorithm sorting operation balancing ledgerbilling,data structure algorithm iii avl 24 tree divide conquer algorithm data structure amp algorithm course completes data structure portion presented sequence course selfbalancing avl 24 tree also begin algorithm portion sequence course short java review presented topic relevant new data structure covered course course require prior knowledge java objectoriented programming linear nonlinear data structure time complexity threaded throughout course within data structure algorithm investigate explore two complex data structure avl 24 tree data structure focus selfbalancing technique ensure operation olog n avl tree subgroup bsts thus inherit property constraint bsts additionally avls incorporate rotation triggered tree mutated becomes balance 24 tree subgroup btrees nonbinary tree 2 child 24 defines range child exists tree however tree extremely flexible allow node shrink grow needed store data flexibility come issue handle like overflow underflow require intense technique resolve issue enter algorithm portion course begin couple familiar iterative sorting algorithm bubble selection optimization included standard bubble sort make adaptive sorting also derivation bubble sort called cocktail shaker sort put new spin basic algorithm insertion sort last iterative sort investigated group sort algorithm divide amp conquer sorting algorithm examined broken two group comparison sort noncomparison sort two comparison sort merge inplace quick sort recursive focus subdividing array smaller portion lsd radix sort noncomparison sort deconstructs integer number examines digit algorithm analyzed stability memory storage adaptiveness time complexity course design several component built around module module consists series short 35 minute instructional video video textual frame additional content information clarification well video erratum dropdown box module include exploratory lab incorporates visualization tool specifically designed course lab includes discovery question lead towards delving deeper efficiency data structure examining edge case followed set comprehension question topic covered module count 10 grade module end java coding assignment 60 grade lastly youll complete course exam count remaining 30 grade computer science algorithm java object oriented querying node networking java programming language data structure time complexity sorting algorithm sorting operation balancing ledgerbilling
herramientas metodologías de gestión de proyectos,universidad nacional de córdoba,este curso ahonda en la competencias blandas necesarias para gestionar eficientemente un proyecto en do factores críticos al momento de implementar un proyecto como lo son el tiempo los riesgos asociados su vez presenta documentación herramientas propias de la gestión de proyectos la cuales resumen todos los factores que hacen una correcta formulación e implementación permiten por ende tener una visión integral del proyecto,aprenderás desarrollar ciertas competencias blandas necesarias para gestionar un proyecto específicamente aquellas relacionadas con el trabajo en equipo la comunicación su vez profundizarás do factores críticos que e imprescindible gestionar correctamente para lograr el objetivo del proyecto el tiempo los riesgos también conocerás través de qué medios pueden integrarse todos los factores aspectos implicados en la planificación e implementación de un proyecto con el objetivo de tener una visión integral del mismo,en este curso aprenderás cómo desarrollar competencias blandas necesarias para ejercer el rol de director de un proyecto principalmente aquellas relacionadas con el trabajo en equipo la comunicación aspectos culturales de la organización que lleva adelante el proyecto su vez conocerás más acerca de los factores críticos que hay que administrar durante la implementación de un proyecto el tiempo los riesgos dichos factores constituyen una limitación que puede obstaculizar la consecución del objetivo del proyecto si se gestionan correctamente dentro del factor tiempo se abordará la programación diagramación temporal de cada etapa del proyecto como así también el control de agenda en cuanto al factor riesgos se reflexionará acerca de la importancia de contar con un plan que los identifique gestione para minimizar su impacto negativo en la implementación del proyecto por último se integrarán todos los aspectos criterios relacionados con la formulación planificación gestión de proyectos con el objetivo de tener una visión global de los procesos implicados,available now,"business & management, data analysis & statistics, economics & finance",intermediate,spanish,Course,professional certificate,natalia-marrama,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)",,484,https://www.edx.org/learn/soft-skills/universidad-nacional-de-cordoba-herramientas-y-metodologias-de-gestion-de-proyectos,5.0,planning scheduling communication teamwork management,herramientas metodologías de gestión de proyectos en este curso aprenderás cómo desarrollar competencias blandas necesarias para ejercer el rol de director de un proyecto principalmente aquellas relacionadas con el trabajo en equipo la comunicación aspectos culturales de la organización que lleva adelante el proyecto su vez conocerás más acerca de los factores críticos que hay que administrar durante la implementación de un proyecto el tiempo los riesgos dichos factores constituyen una limitación que puede obstaculizar la consecución del objetivo del proyecto si se gestionan correctamente dentro del factor tiempo se abordará la programación diagramación temporal de cada etapa del proyecto como así también el control de agenda en cuanto al factor riesgos se reflexionará acerca de la importancia de contar con un plan que los identifique gestione para minimizar su impacto negativo en la implementación del proyecto por último se integrarán todos los aspectos criterios relacionados con la formulación planificación gestión de proyectos con el objetivo de tener una visión global de los procesos implicados business & managementdata analysis & statisticseconomics & finance planning scheduling communication teamwork management
introduction objectoriented programming java iii exception data structure recursion gui,the georgia institute of technology,learn create use exception data structure recursion graphical userinterfaces gui,understand benefit exception v builtin error checking handle exception either catching specifying read write simple text file java distinguish checked exception unchecked create manipulate arraylists linkedlists understand difference arraybased data structure linkbased one identify base case reduction step recursive call recursive solution model call stack execution recursive method develop javafx scene basic layout control attach event handler control bring life scene package scene event handler java application,course provides student knowledge handle even create exception achieve graceful error handling program also create utilize data structure including list file student also learn recursion useful approach repetition program finally student learn develop basic graphical user interface gui using javafx,available now,computer science,introductory,english,Course,professional certificate,olufisayo-omojokun,,,484,https://www.edx.org/learn/object-oriented-programming/the-georgia-institute-of-technology-introduction-to-object-oriented-programming-with-java-iii-exceptions-data-structures-recursion-and-guis,6.0,data structure exception handling graphical user interface objectoriented programming oop java programming language,introduction objectoriented programming java iii exception data structure recursion gui course provides student knowledge handle even create exception achieve graceful error handling program also create utilize data structure including list file student also learn recursion useful approach repetition program finally student learn develop basic graphical user interface gui using javafx computer science data structure exception handling graphical user interface objectoriented programming oop java programming language
introduction healthcare data analysis,mgh institute of health professions,course develop solid foundational understanding common statistical method used health care data analysis common statistical method include descriptive statistic data distribution sampling distribution hypothesis test visualizing summarizing data independent paired sample ttests anova,end course able use basic statistical concept distribution statistic range mean median variance standard deviation visualization histogram boxplots apply basic data wrangling r statistical program loading data transforming data getting basic summary statistic aggregating data etc apply ttest anova analysis healthcare data interpret result apply hypothesis testing interpret result communicate result analysis others simple language,course develop solid foundational understanding common statistical method used health care data analysis course cover common univariate multivariate statistical method used healthcare data analysis student also learn apply method using statistical software package course cover basic data wrangling necessary data analysis us example healthcare industry course focus use statistical method although may discussion mathematical underpinnings relevant formula assumption necessary understanding application statistical method selfpaced course comprised written content video content stepbystep followalong activity assessment reinforce learning assessment available verified track learner course comprised 5 module complete order subsequent module build previous one module 1 descriptive statistic data distribution module 2 sampling distribution hypothesis test module 3 visualize summarize data r module 4 independent paired sample ttests module 5 anova,available now,"data analysis & statistics, medicine, health & safety",introductory,english,Course,micromasters,,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","arabic, spanish, indonesian, portuguese - brazil",484,https://www.edx.org/learn/data-analysis-statistics/mgh-institute-of-health-professions-introduction-to-healthcare-data-analysis,5.0,,nan
sql concept data engineer,ibm,short course learn additional sql concept view stored procedure transaction join,create use view create execute stored procedure work acid transaction query multiple table using join operator,please note learner successfully complete ibm course earn skill badge detailed verifiable digital credential profile knowledge skill youve acquired course enroll learn complete course claim badge course build existing sql knowledge learn additional technique key data engineer learn create use view simplify control access underlying table learn advantage provided stored procedure write run discover importance acid transaction maintain integrity data use code finally learn use different type join accurately retrieve related data multiple table prerequisite course intended follow sql data science course ibm please ensure either completed course prior starting one foundationalintermediate knowledge sql familiar creating table performing select statement filtering sorting grouping data working nested query multiple table,available now,data analysis & statistics,intermediate,english,Course,"professional certificate, professional certificate, professional certificate",rav-ahuja,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","arabic, portuguese - brazil, spanish, indonesian",482,https://www.edx.org/learn/sql/ibm-sql-concepts-for-data-engineers,1.0,data science stored procedure nested query sql programming language,sql concept data engineer please note learner successfully complete ibm course earn skill badge detailed verifiable digital credential profile knowledge skill youve acquired course enroll learn complete course claim badge course build existing sql knowledge learn additional technique key data engineer learn create use view simplify control access underlying table learn advantage provided stored procedure write run discover importance acid transaction maintain integrity data use code finally learn use different type join accurately retrieve related data multiple table prerequisite course intended follow sql data science course ibm please ensure either completed course prior starting one foundationalintermediate knowledge sql familiar creating table performing select statement filtering sorting grouping data working nested query multiple table data analysis & statistics data science stored procedure nested query sql programming language
psychologie de la négociation,université catholique de louvain,plongez au coeur de mécanismes psychologiques qui entrent en jeu dans le situation de négociation,maîtriser le connaissances qui permettent dexpliquer et de comprendre le comportement de individus lorsque ceuxci sont amenés à gerer leurs divergence et conflits au travers de la technique de négociations analyser critiquer et modéliser le situation de divergence et de négociations adopter une posture critique visàvis de soimême et dautrui en négociation,souvent confinée à létude de technique permettant de vendre une encyclopédie en 24 volume à une octogénaire récalcitrante ou à lart de marchander son salaire la négociation est souvent abordée sou un angle exclusivement utilitariste mais négocier ce nest pa se limiter à la recherche du bénéfice maximum la négociation traverse toutes le dimension de la vie humaine nous négocions tous le jours dans toutes le sphères de notre existence au travail avec la famille le amis dès quil sagit de partager de biens matériels mais aussi de résoudre une divergence dintérêts de concilier différentes envy rêves goûts couleurs ce cours séloigne de lapproche classique de négociations et tente de rendre compte de phénomènes psychologiques à la base du comportement lapproche poursuivie serum descriptive plutôt que prescriptive contrairement aux théoriciens du jeu qui examinent ce que de superhommes ultraintelligents et impeccablement rationnels devraient faire dans le situation compétitives nous explorerons la façon dont de êtres imparfaits se comportent dans la réalité raiffa 1982 p 21 ainsi le êtres humains poursuivent de motivation ont de attentes de préjugés de biais et de émotions il analysent linformation qui leur est soumise et prennent de décisions à travers le spectre de leurs propres limites cognitives leurs action fluctuent en fonction de la situation ou de leur personnalité toutes ce variable influencent non seulement le comportement de personnes mais plus fondamentalement elles modifient la dynamique même de résolution de divergence ce cours mettra en évidence ce variable multiple et offrira aux étudiantes et étudiants une compréhension fine et detaillée de processus psychologiques qui entrent en jeu avant pendant et après toute négociation,available now,"business & management, communication, social sciences",intermediate,french,Course,micromasters,stephanie-demoulin,,,480,https://www.edx.org/learn/negotiations/universite-catholique-de-louvain-psychologie-de-la-negociation,10.0,spectre circuit simulator negotiation influencing skill psychology selling technique,psychologie de la négociation souvent confinée à létude de technique permettant de vendre une encyclopédie en 24 volume à une octogénaire récalcitrante ou à lart de marchander son salaire la négociation est souvent abordée sou un angle exclusivement utilitariste mais négocier ce nest pa se limiter à la recherche du bénéfice maximum la négociation traverse toutes le dimension de la vie humaine nous négocions tous le jours dans toutes le sphères de notre existence au travail avec la famille le amis dès quil sagit de partager de biens matériels mais aussi de résoudre une divergence dintérêts de concilier différentes envy rêves goûts couleurs ce cours séloigne de lapproche classique de négociations et tente de rendre compte de phénomènes psychologiques à la base du comportement lapproche poursuivie serum descriptive plutôt que prescriptive contrairement aux théoriciens du jeu qui examinent ce que de superhommes ultraintelligents et impeccablement rationnels devraient faire dans le situation compétitives nous explorerons la façon dont de êtres imparfaits se comportent dans la réalité raiffa 1982 p 21 ainsi le êtres humains poursuivent de motivation ont de attentes de préjugés de biais et de émotions il analysent linformation qui leur est soumise et prennent de décisions à travers le spectre de leurs propres limites cognitives leurs action fluctuent en fonction de la situation ou de leur personnalité toutes ce variable influencent non seulement le comportement de personnes mais plus fondamentalement elles modifient la dynamique même de résolution de divergence ce cours mettra en évidence ce variable multiple et offrira aux étudiantes et étudiants une compréhension fine et detaillée de processus psychologiques qui entrent en jeu avant pendant et après toute négociation business & managementcommunicationsocial sciences spectre circuit simulator negotiation influencing skill psychology selling technique
introduction connected strategy,the wharton school of the university of pennsylvania,technology caused firm fundamentally change strategy connect customer new different way course weexplore impact connected strategy well business opportunity associated strategy,identify define connected strategy potential value proposition analyze customer experience understand customer journey leverage positive feedback loop customer create effective customization strategy identify connected relationship firm improve connected strategy create connection architecture implement connected customer relationship strategy,course youll learn technology enabled firm fundamentally change connectwith customer professor christian terwiesch nicolaj siggelkow wharton school havedesigned course help explore impact connected strategy business opportunitiesassociated strategy study analysis innovation framework andvalue proposition youll learn connected customer experience connected delivery modelscan utilized myriad industry business model youll also explore different type ofconnected customersproducers example connected strategy evaluate existing technologiesthat inform design connected relationship end course youll able toidentify different type connected strategy opportunity variety business model youcan employ best practice achieve success within organization,"upcoming, available now",business & management,intermediate,english,Course,professional certificate,"christian-terwiesch, nicolaj-siggelkow",,,480,https://www.edx.org/learn/business-strategy/the-wharton-school-of-the-university-of-pennsylvania-introduction-to-connected-strategy,6.0,business modeling customer experience innovation customer service,introduction connected strategy course youll learn technology enabled firm fundamentally change connectwith customer professor christian terwiesch nicolaj siggelkow wharton school havedesigned course help explore impact connected strategy business opportunitiesassociated strategy study analysis innovation framework andvalue proposition youll learn connected customer experience connected delivery modelscan utilized myriad industry business model youll also explore different type ofconnected customersproducers example connected strategy evaluate existing technologiesthat inform design connected relationship end course youll able toidentify different type connected strategy opportunity variety business model youcan employ best practice achieve success within organization business & management business modeling customer experience innovation customer service
critical thinking develop critical thinking skill,boxplay,steer away reactive thinking onto path strategic decisionmaking,end course able master critical thinking style identify key component successful critical thinking identify gather information using critical thinking loop recognize pattern identify different type critical thinking reactive unconscious inflexible conscious creative including become self aware become conscious accountability bias building clear strategic solution cq communication quotient course draw cq communication quotient strategy model based cutting edge psychology neuroscience communication research cq assesses habit tendency help better understand communicate world around hollywood storytelling data scientist dr beck psychologist dr faye training sentient robot ei develop cq skill ei want understand mean critical thinker share eis journey interacts different type thinker reaps reward come applying critical thinking expert knowledge benefit combined wisdom behavioral communication expert neuroscientist accompanying statistic relatable example created boxplay emmy awardwinning company mission democratize career success visual learning actionable content innovative multimedia stepbystep approach walk entire process becoming conscious creative critical thinker beautiful infographics engaging gifs help explain strategy behind cq communication quotient methodology,break limit critical thinking valuable everyday skill save time money resource course learn different thinking style use critical thinking enhance communication collaboration management problemsolving skill move beyond bias help uncover limiting belief may holding back achieving goal build self awareness achieve greater success understanding drive decision learn trait habit behavior nurture growth lean problem master critical thinking learning set intentioncarry information analysis implement plan action maximize collaboration learn key skill successful team identify communicate challenge find solution work everyone,available now,communication,introductory,english,Course,,"anna-zucchi, xiaoqing-wang, alasdair-munn-5, clare-munn, roy-sugarman, elisabetta-zucchi","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","arabic, portuguese - brazil, spanish, indonesian",478,https://www.edx.org/learn/critical-thinking-skills/boxplay-critical-thinking-how-to-develop-critical-thinking-skills,1.0,communication critical thinking problem solving data analysis management,critical thinking develop critical thinking skill break limit critical thinking valuable everyday skill save time money resource course learn different thinking style use critical thinking enhance communication collaboration management problemsolving skill move beyond bias help uncover limiting belief may holding back achieving goal build self awareness achieve greater success understanding drive decision learn trait habit behavior nurture growth lean problem master critical thinking learning set intentioncarry information analysis implement plan action maximize collaboration learn key skill successful team identify communicate challenge find solution work everyone communication communication critical thinking problem solving data analysis management
computer architecture,harvey mudd college,course computer architecture take understanding digital design using combinational logic synchronous sequential building block building singlecycle multicycle pipelined microprocessor,end course able write simple program c assembly language build embedded system involving software hardware design singlecycle multicycle pipelined microprocessor,microprocessor incredibly useful tool cheap flexible allow control physical system powerful way class learn build microprocessor well program build system,available now,"engineering, computer science, electronics",introductory,english,Course,,"joshua-brake, david-harris",,,477,https://www.edx.org/learn/computer-architecture/harvey-mudd-college-computer-architecture,14.0,combinational logic computer architecture digital design,computer architecture microprocessor incredibly useful tool cheap flexible allow control physical system powerful way class learn build microprocessor well program build system engineeringcomputer scienceelectronics combinational logic computer architecture digital design
concept theory,new york institute of finance,gain solid foundation merger amp acquisition kickstart career finance,recognize common motivation acquisition reason many unsuccessful identify method structuring business acquisition evaluate intrinsic relative valuation method target company,offering intensive introduction complex world mampa course provide invaluable foundation strategy regulation finding deal corporate valuation learn buyer strategy mampa increase business value start acquisition process well identify successful acquisition taught instructor decade experience wall street mampa course equip analyst associate skill need rise employment mampa field additionally director manager transitioned hope transition mampa area equity fixed income use course eliminate skill gap course part new york institute finance popular merger amp acquisition professional certificate program,available now,"business & management, economics & finance",intermediate,english,Course,"xseries, professional certificate, professional certificate",jeff-hooke,"arabic, english, spanish (latin america), indonesian, portuguese (brazil)","german, indonesian, portuguese - brazil, french, hindi, spanish, arabic, telugu, turkish, portuguese, swahili",477,https://www.edx.org/learn/business-administration/new-york-institute-of-finance-ma-concepts-and-theories,4.0,business valuation acquisition process fixed income merger acquisition equity finance,concept theory offering intensive introduction complex world mampa course provide invaluable foundation strategy regulation finding deal corporate valuation learn buyer strategy mampa increase business value start acquisition process well identify successful acquisition taught instructor decade experience wall street mampa course equip analyst associate skill need rise employment mampa field additionally director manager transitioned hope transition mampa area equity fixed income use course eliminate skill gap course part new york institute finance popular merger amp acquisition professional certificate program business & managementeconomics & finance business valuation acquisition process fixed income merger acquisition equity finance
structural material selection economics,massachusetts institute of technology,billion ton structural material steel aluminum titanium used every year learn used,externality material selection material price cost abundance property limit ratio analysis structural material,skyscraper transportation infrastructure structural material dominate human landscape learning principle govern selection essential aspiring practicing engineer engineering course introduce key principle structural material selection practical curriculum rooted real world principle taught general enough applied across many domain key point emphasized interesting example anecdote industry academia course benefit aspiring engineer student previous experience well seasoned professional image c eagar thomas,available now,"engineering, science",introductory,english,Course,,"donald-baskin, jessica-sandland, thomas-eagar","arabic, english, spanish (latin america), indonesian, portuguese (brazil)","indonesian, arabic, spanish, portuguese - brazil",475,https://www.edx.org/learn/structural-engineering/massachusetts-institute-of-technology-structural-materials-selection-and-economics,3.0,structural material infrastructure economics,structural material selection economics skyscraper transportation infrastructure structural material dominate human landscape learning principle govern selection essential aspiring practicing engineer engineering course introduce key principle structural material selection practical curriculum rooted real world principle taught general enough applied across many domain key point emphasized interesting example anecdote industry academia course benefit aspiring engineer student previous experience well seasoned professional image c eagar thomas engineeringscience structural material infrastructure economics
